Name,w,prob,Tags,Server end time,File name,Duration,User Name,lr,num_experiment,img_size,train_data,tags,offline_experiment,debug,Current Step,num_workers
facemixup_online-1_w10_p9,10.0,0.9,"tilapia_p9,facemixup_online,AffectNet",1758732190200,experiment_affectnet_offline.py,10248,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p9"",""facemixup_online"",""AffectNet""]",false,false,3999,24
facemixup_online-1_w10_p8,10.0,0.8,"tilapia_p8,facemixup_online,AffectNet",1758732185137,experiment_affectnet_offline.py,41442,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p8"",""facemixup_online"",""AffectNet""]",false,false,394,24
facemixup_online-1_w9.5_p9,9.5,0.9,"tilapia_p9,facemixup_online,AffectNet",1758721940010,experiment_affectnet_offline.py,60765,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p9"",""facemixup_online"",""AffectNet""]",false,false,99,24
facemixup_online-1_w9.5_p8,9.5,0.8,"tilapia_p8,facemixup_online,AffectNet",1758690740966,experiment_affectnet_offline.py,56692,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p8"",""facemixup_online"",""AffectNet""]",false,false,99,24
facemixup_online-1,9.0,0.9,"tilapia_p9,facemixup_online,AffectNet",1758661166221,experiment_affectnet_offline.py,60682,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p9"",""facemixup_online"",""AffectNet""]",false,false,99,24
facemixup_online-1,9.0,0.8,"tilapia_p8,facemixup_online,AffectNet",1758634046264,experiment_affectnet_offline.py,56713,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p8"",""facemixup_online"",""AffectNet""]",false,false,99,24
facemixup_online-1,8.5,0.9,"tilapia_p9,facemixup_online,AffectNet",1758600481827,experiment_affectnet_offline.py,60693,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p9"",""facemixup_online"",""AffectNet""]",false,false,99,24
facemixup_online-1,8.5,0.8,"tilapia_p8,facemixup_online,AffectNet",1758577330793,experiment_affectnet_offline.py,56784,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p8"",""facemixup_online"",""AffectNet""]",false,false,99,24
facemixup_online-1,8.0,0.9,"tilapia_p9,facemixup_online,AffectNet",1758539785939,experiment_affectnet_offline.py,60584,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p9"",""facemixup_online"",""AffectNet""]",false,false,99,24
facemixup_online-1,8.0,0.8,"tilapia_p8,facemixup_online,AffectNet",1758520544412,experiment_affectnet_offline.py,56715,mateusmsouza,0.001,1,112,/datasets/mateus/AffectNet/fer_train_set_112_112/images/*.jpg,"[""tilapia_p8"",""facemixup_online"",""AffectNet""]",false,false,99,24
